epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3641.51,0.42074,0.70369,0.81217,0.71259,0.76012,0.80074,0.74873,0.35385,0.70447,0.79428,0.000317,0.000317,0.000317
70,3710.71,0.42201,0.67157,0.81183,0.7245,0.74102,0.80679,0.75819,0.34216,0.65203,0.79102,0.00029225,0.00029225,0.00029225
71,3815.86,0.41285,0.66769,0.81881,0.61338,0.83728,0.77203,0.72957,0.33472,0.70812,0.78925,0.0002675,0.0002675,0.0002675
72,3885.2,0.40838,0.69495,0.81689,0.63397,0.78915,0.78849,0.73869,0.34586,0.70362,0.7927,0.00024275,0.00024275,0.00024275
73,3955.13,0.41054,0.69039,0.81775,0.69302,0.76929,0.82025,0.76791,0.35254,0.70024,0.79406,0.000218,0.000218,0.000218
74,4025.31,0.41214,0.71414,0.82087,0.66786,0.77922,0.81363,0.76335,0.33663,0.69816,0.79032,0.00019325,0.00019325,0.00019325
75,4095.01,0.41336,0.69414,0.82268,0.62323,0.83908,0.80344,0.7497,0.35173,0.76011,0.79401,0.0001685,0.0001685,0.0001685
76,4141.89,0.4076,0.66834,0.8174,0.72597,0.75289,0.81268,0.76204,0.33974,0.71957,0.79122,0.00014375,0.00014375,0.00014375
77,4174.79,0.40799,0.68009,0.81828,0.74689,0.73797,0.82397,0.77192,0.34156,0.67811,0.79075,0.000119,0.000119,0.000119
78,4207.26,0.40387,0.68363,0.81824,0.74053,0.76241,0.8234,0.77368,0.33854,0.67302,0.79074,9.425e-05,9.425e-05,9.425e-05
79,4240.53,0.4049,0.66874,0.81579,0.73495,0.75859,0.82699,0.77686,0.34177,0.67724,0.79158,6.95e-05,6.95e-05,6.95e-05
80,4273.69,0.4033,6.46477,0.81508,0.68703,0.76012,0.81586,0.76732,0.33627,0.69593,0.79015,4.475e-05,4.475e-05,4.475e-05
